scenario;rakennus_tyyppi;lammitysmuoto;kaukolampo;kevyt_oljy;raskas_oljy;kaasu;sahko;puu;turve;hiili;maalampo;muu_lammitys
wemh;liiken;kaukolampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;liiken;kevyt_oljy;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;liiken;raskas_oljy;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;liiken;kaasu;0.0030;0.0000;0.0000;-0.0297;0.0000;0.0000;0.0000;0.0000;0.0267;0.0000
wemh;liiken;sahko;0.0005;0.0000;0.0000;0.0000;-0.0094;0.0000;0.0000;0.0000;0.0089;0.0000
wemh;liiken;puu;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;liiken;turve;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;liiken;hiili;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;liiken;maalampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;liiken;muu_lammitys;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;hoito;kaukolampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;hoito;kevyt_oljy;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;hoito;raskas_oljy;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;hoito;kaasu;0.0045;0.0000;0.0000;-0.0297;0.0000;0.0000;0.0000;0.0000;0.0252;0.0000
wemh;hoito;sahko;0.0005;0.0000;0.0000;0.0000;-0.0094;0.0000;0.0000;0.0000;0.0089;0.0000
wemh;hoito;puu;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;hoito;turve;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;hoito;hiili;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;hoito;maalampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;hoito;muu_lammitys;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;kokoon;kaukolampo;-0.0016;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0016;0.0000
wemh;kokoon;kevyt_oljy;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;kokoon;raskas_oljy;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;kokoon;kaasu;0.0045;0.0000;0.0000;-0.0297;0.0000;0.0000;0.0000;0.0000;0.0252;0.0000
wemh;kokoon;sahko;0.0005;0.0000;0.0000;0.0000;-0.0094;0.0000;0.0000;0.0000;0.0089;0.0000
wemh;kokoon;puu;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;kokoon;turve;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;kokoon;hiili;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;kokoon;maalampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;kokoon;muu_lammitys;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;opetus;kaukolampo;-0.0031;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0031;0.0000
