vuosi;kunta;xyind;v_yht;v_0_6;v_7_14;v_15_17;v_18_29;v_30_49;v_50_64;v_65_74;v_75
2019;790;2746256831375;5;1;1;0;0;2;0;1;0
2019;790;2756256831375;9;0;0;0;0;1;0;8;0
2019;790;2758756831375;16;0;4;1;4;5;2;0;0
2019;790;2761256831375;21;0;0;1;3;1;10;5;1
2019;790;2763756831375;4;0;0;0;0;0;1;3;0
2019;790;2783756831375;1;0;0;0;0;1;0;0;0
2019;790;2868756831375;1;0;0;0;0;0;1;0;0
2019;790;2873756831375;1;0;0;0;0;0;1;0;0
2019;790;2886256831375;6;0;0;0;2;2;2;0;0
2019;790;2888756831375;4;2;0;0;2;0;0;0;0
2019;790;2891256831375;1;0;0;0;0;0;1;0;0
2019;790;2731256831625;3;0;0;0;0;1;1;0;1
2019;790;2733756831625;2;0;0;0;2;0;0;0;0
2019;790;2743756831625;2;0;0;0;0;0;2;0;0
2019;790;2746256831625;2;0;0;0;1;1;0;0;0
2019;790;2748756831625;5;0;0;0;0;1;2;2;0
2019;790;2753756831625;15;0;3;2;1;5;2;2;0
2019;790;2756256831625;48;6;8;1;3;12;10;5;3
2019;790;2758756831625;51;6;7;0;4;9;8;12;5
2019;790;2761256831625;9;1;0;0;4;1;0;0;3
2019;790;2768756831625;2;0;0;0;0;0;2;0;0
2019;790;2803756831625;4;0;0;1;1;1;1;0;0
2019;790;2811256831625;3;1;0;0;1;1;0;0;0
2019;790;2813756831625;1;0;0;0;0;0;0;0;1
2019;790;2848756831625;7;0;2;1;0;2;2;0;0
2019;790;2851256831625;1;0;0;0;0;0;1;0;0
2019;790;2876256831625;2;0;0;0;0;0;0;2;0
2019;790;2883756831625;3;0;0;0;0;0;0;2;1
2019;790;2888756831625;2;0;0;0;0;0;2;0;0
2019;790;2906256831625;3;0;0;0;1;1;0;1;0
2019;790;2731256831875;9;3;0;0;0;3;1;2;0
2019;790;2741256831875;4;0;0;0;0;0;3;0;1
2019;790;2743756831875;6;0;1;1;0;1;1;0;2
2019;790;2746256831875;4;0;0;0;0;2;2;0;0
