scenario;year;kmuoto;teoll_kaivos;teoll_elint;teoll_tekst;teoll_puu;teoll_paper;teoll_kemia;teoll_miner;teoll_mjalos;teoll_metal;teoll_kone;teoll_muu;teoll_energ;teoll_vesi;teoll_yhdysk;varast;teoll
saasto;2017;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;35;162
saasto;2018;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;25;12
saasto;2018;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;35;162
saasto;2019;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;25;12
saasto;2019;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;35;162
saasto;2020;pauto;0;7;13;0;0;4;1;0;6;6;11;0;1;1;25;12
saasto;2020;kauto;22;68;46;65;73;67;38;49;49;24;39;36;39;37;35;163
saasto;2021;pauto;0;6;13;0;0;4;1;0;6;6;11;0;1;1;24;12
saasto;2021;kauto;22;68;46;66;74;68;38;49;49;24;39;37;39;37;36;164
saasto;2022;pauto;0;6;12;0;0;4;1;0;6;5;11;0;1;1;24;11
saasto;2022;kauto;22;69;46;66;74;68;38;49;49;24;40;37;39;37;36;164
saasto;2023;pauto;0;6;12;0;0;4;1;0;6;5;11;0;1;1;24;11
saasto;2023;kauto;22;69;47;66;74;68;38;50;50;24;40;37;39;37;36;165
saasto;2024;pauto;0;6;12;0;0;4;1;0;6;5;11;0;1;1;23;11
saasto;2024;kauto;22;69;47;67;75;69;38;50;50;24;40;37;40;37;37;166
saasto;2025;pauto;0;6;12;0;0;4;1;0;6;5;11;0;1;1;23;11
saasto;2025;kauto;22;70;47;67;75;69;38;50;50;24;40;37;40;38;37;166
saasto;2026;pauto;0;6;12;0;0;4;1;0;5;5;10;0;1;1;22;11
saasto;2026;kauto;22;70;47;67;76;69;39;50;50;24;40;38;40;38;37;167
saasto;2027;pauto;0;6;11;0;0;3;1;0;5;5;10;0;1;1;22;10
saasto;2027;kauto;23;70;48;68;76;70;39;51;51;25;41;38;40;38;38;169
saasto;2028;pauto;0;6;11;0;0;3;1;0;5;5;10;0;1;1;22;10
saasto;2028;kauto;23;71;48;68;76;70;39;51;51;25;41;38;40;38;38;169
saasto;2029;pauto;0;6;11;0;0;3;1;0;5;5;10;0;1;1;21;10
saasto;2029;kauto;23;71;48;68;77;70;39;51;51;25;41;38;41;38;38;170
saasto;2030;pauto;0;6;11;0;0;3;1;0;5;5;10;0;1;1;21;10
saasto;2030;kauto;23;72;48;69;77;71;39;51;51;25;41;38;41;39;39;171
saasto;2031;pauto;0;6;11;0;0;3;1;0;5;5;10;0;1;1;21;10
saasto;2031;kauto;23;72;49;69;77;71;40;52;52;25;41;38;41;39;39;172
saasto;2032;pauto;0;5;11;0;0;3;1;0;5;5;9;0;1;1;21;10
saasto;2032;kauto;23;72;49;69;78;71;40;52;52;25;42;39;41;39;40;173
saasto;2033;pauto;0;5;10;0;0;3;1;0;5;5;9;0;1;1;20;10
saasto;2033;kauto;23;73;49;70;78;72;40;52;52;25;42;39;41;39;40;173
saasto;2034;pauto;0;5;10;0;0;3;1;0;5;5;9;0;1;1;20;10
