vuosi;kunta;tp_yht;xyind
2017;604;1;3206256817125
2017;604;39;3208756817125
2017;604;97;3211256817125
2017;604;12;3213756817125
2017;604;35;3216256817125
2017;604;28;3233756817125
2017;604;2;3236256817125
2017;604;1;3171256817375
2017;604;3;3183756817375
2017;604;58;3206256817375
2017;604;126;3211256817375
2017;604;221;3213756817375
2017;604;16;3236256817375
2017;604;25;3241256817375
2017;604;37;3251256817375
2017;604;23;3168756817625
2017;604;1;3173756817625
2017;604;1;3176256817625
2017;604;11;3181256817625
2017;604;1;3183756817625
2017;604;1;3186256817625
2017;604;1;3196256817625
2017;604;26;3203756817625
2017;604;33;3206256817625
2017;604;14;3208756817625
2017;604;87;3211256817625
2017;604;66;3213756817625
2017;604;10;3216256817625
2017;604;2;3218756817625
2017;604;97;3241256817625
2017;604;2;3248756817625
2017;604;11;3251256817625
2017;702;1;3596256871375
2017;702;3;3406256871875
2017;702;4;3483756871875
2017;702;1;3531256871875
2017;702;1;3563756871875
2017;702;1;3381256872125
2017;702;3;3531256872125
2017;702;2;3413756872375
2017;702;1;3493756872375
2017;702;1;3598756872625
2017;702;2;3433756872875
2017;702;53;3498756872875
2017;702;2;3508756873125
2017;702;2;3561256873125
2017;702;2;3591256873125
2017;702;12;3466256873375
2017;702;4;3456256873625
2017;702;1;3478756873875
2017;702;1;3476256874125
2017;702;1;3478756874125
2017;702;5;3476256874375
2017;702;4;3478756874375
2017;702;8;3473756874625
2017;702;1;3476256874625
2017;702;2;3483756874625
2017;702;64;3461256874875
2017;702;3;3473756874875
2017;702;52;3458756875125
2017;702;180;3461256875125
2017;702;1;3463756875125
2017;702;1;3466256875125
2017;702;3;3483756875125
2017;702;55;3461256875375
2017;702;1;3466256875375
2017;702;5;3471256875375
2017;702;3;3488756875375
2017;702;1;3518756875375
2017;702;6;3461256875625
2017;702;22;3463756875625
2017;702;72;3466256875625
2017;702;85;3468756875625
2017;702;19;3458756875875
2017;702;11;3461256875875
2017;702;98;3463756875875
2017;702;24;3466256875875
2017;702;1;3468756875875
2017;702;1;3563756875875
2017;702;1;3446256876125
2017;702;5;3456256876125
2017;702;5;3461256876125
2017;702;115;3463756876125
2017;702;74;3466256876125
2017;702;2;3471256876125
2017;702;1;3426256876375
2017;702;3;3458756876375
2017;702;1;3461256876375
2017;702;2;3541256876375
2017;702;1;3458756876625
2017;702;1;3458756876875
2017;702;5;3466256877125
2017;702;1;3451256877375
2017;702;7;3453756877375
2017;702;5;3468756877875
2017;702;1;3576256877875
2017;702;1;3531256878125
2017;702;2;3438756878375
2017;604;7;3253756817625
2017;604;3;3256256817625
2017;604;9;3161256817875
2017;604;1;3178756817875
2017;604;1;3191256817875
2017;604;127;3203756817875
2017;604;54;3206256817875
2017;604;4;3213756817875
2017;604;2;3218756817875
2017;604;3;3221256817875
2017;604;65;3233756817875
2017;604;2;3251256817875
2017;604;3;3253756817875
2017;604;9;3163756818125
2017;604;5;3168756818125
2017;604;2;3181256818125
2017;604;2;3198756818125
2017;604;118;3201256818125
2017;604;28;3203756818125
2017;604;18;3206256818125
2017;604;3;3208756818125
2017;604;4;3211256818125
2017;604;2;3213756818125
2017;604;2;3218756818125
2017;604;151;3233756818125
2017;604;6;3253756818125
2017;604;25;3178756818375
2017;604;3;3183756818375
2017;604;23;3198756818375
2017;604;93;3201256818375
2017;604;157;3203756818375
2017;604;15;3206256818375
2017;604;7;3211256818375
2017;604;3;3216256818375
2017;604;1;3218756818375
2017;604;1;3221256818375
2017;604;1;3223756818375
2017;604;1;3226256818375
2017;604;2;3228756818375
2017;604;1;3231256818375
2017;604;1;3248756818375
2017;604;43;3251256818375
2017;604;1;3253756818375
2017;604;3;3171256818625
2017;604;1;3178756818625
2017;604;24;3183756818625
2017;604;3;3186256818625
2017;604;10;3196256818625
2017;604;10;3198756818625
2017;604;67;3201256818625
2017;604;1;3203756818625
2017;604;4;3206256818625
2017;604;4;3211256818625
2017;604;21;3213756818625
2017;604;16;3218756818625
2017;604;2;3221256818625
2017;604;5;3223756818625
2017;604;5;3226256818625
2017;604;1;3236256818625
2017;604;1;3248756818625
2017;604;45;3251256818625
2017;604;1;3178756818875
2017;604;1;3181256818875
2017;604;178;3196256818875
2017;604;37;3198756818875
2017;604;6;3201256818875
2017;702;3;3443756878375
2017;702;5;3448756878375
2017;702;1;3461256878875
2017;702;1;3463756879125
2017;702;5;3453756879625
2017;702;1;3473756879625
2017;702;15;3556256880375
2017;702;1;3451256880625
2017;702;1;3553756880625
2017;702;1;3438756880875
2017;702;1;3513756880875
2017;702;2;3438756881375
2017;702;1;3443756881625
2017;702;1;3446256881625
2017;702;2;3583756882125
2017;702;2;3443756882625
2017;702;5;3546256883125
2017;702;1;3528756883375
2017;702;1;3448756883875
2017;702;1;3526256883875
2017;702;1;3363756884125
2017;702;1;3471256885125
2017;702;1;3508756885375
2017;702;2;3506256886125
2017;702;1;3413756886375
2017;702;5;3381256886625
2017;702;1;3516256886625
2017;702;1;3331256886875
2017;702;2;3511256886875
2017;702;1;3513756886875
2017;702;7;3308756887375
2017;702;1;3551256887375
2017;702;3;3296256887875
2017;005;1;3283756991625
2017;005;8;3298756991625
2017;005;1;3308756991625
2017;005;1;3316256991625
2017;005;1;3323756991625
2017;005;8;3326256991625
2017;005;3;3391256991625
2017;005;1;3396256991625
2017;005;1;3428756991625
2017;005;2;3281256991875
2017;005;2;3291256991875
2017;005;13;3293756991875
2017;005;2;3306256991875
2017;005;3;3308756991875
2017;005;2;3321256991875
2017;005;7;3378756991875
2017;005;25;3381256991875
2017;005;22;3383756991875
2017;005;1;3386256991875
2017;005;1;3391256991875
2017;005;1;3396256991875
2017;005;1;3408756991875
2017;005;1;3411256991875
2017;005;1;3613756991875
2017;005;4;3288756992125
2017;005;2;3296256992125
2017;005;3;3323756992125
2017;005;1;3326256992125
2017;005;5;3336256992125
2017;005;1;3376256992125
2017;005;1;3398756992125
2017;005;2;3418756992125
2017;005;1;3283756992375
2017;702;3;3331256888625
2017;702;1;3403756890875
2017;702;2;3403756891125
2017;702;1;3388756891625
2017;702;1;3391256891625
2017;702;5;3396256891625
2017;702;1;3388756891875
2017;702;1;3391256891875
2017;702;16;3393756891875
2017;702;40;3396256891875
2017;702;1;3388756892125
2017;702;1;3393756892125
2017;702;1;3398756892375
2017;702;1;3383756893625
2017;702;1;3373756894125
2017;702;1;3378756894625
2017;702;1;3371256894875
2017;887;1;3271256765625
2017;604;2;3203756818875
2017;604;1;3206256818875
2017;604;202;3208756818875
2017;604;2;3211256818875
2017;604;1;3218756818875
2017;604;54;3221256818875
2017;604;57;3223756818875
2017;604;4;3226256818875
2017;604;1;3228756818875
2017;604;1;3236256818875
2017;604;2;3238756818875
2017;604;100;3248756818875
2017;604;42;3253756818875
2017;604;2;3176256819125
2017;604;1;3178756819125
2017;604;4;3191256819125
2017;604;94;3193756819125
2017;604;9;3196256819125
2017;604;3;3198756819125
2017;604;2;3203756819125
2017;604;1;3206256819125
2017;604;1;3208756819125
2017;604;16;3211256819125
2017;604;339;3213756819125
2017;604;11;3216256819125
2017;604;17;3218756819125
2017;604;16;3221256819125
2017;604;7;3223756819125
2017;604;5;3226256819125
2017;604;1;3233756819125
2017;604;20;3236256819125
2017;604;1;3238756819125
2017;604;1;3243756819125
2017;005;3;3321256992375
2017;005;16;3411256992375
2017;005;1;3421256992375
2017;005;1;3431256992375
2017;005;4;3616256992375
2017;005;5;3296256992625
2017;005;1;3318756992625
2017;005;1;3383756992625
2017;005;2;3418756992625
2017;005;4;3423756992625
2017;005;2;3528756992625
2017;005;7;3543756992625
2017;005;2;3546256992625
2017;005;17;3618756992625
2017;005;1;3291256992875
2017;005;2;3298756992875
2017;005;6;3321256992875
2017;005;19;3408756992875
2017;005;16;3411256992875
2017;005;2;3413756992875
2017;005;15;3418756992875
2017;005;1;3531256992875
2017;005;4;3311256993125
2017;005;6;3313756993125
2017;005;1;3326256993125
2017;005;1;3381256993125
2017;005;4;3393756993125
2017;005;2;3403756993125
2017;005;2;3413756993125
2017;005;2;3416256993125
2017;005;6;3418756993125
2017;005;1;3421256993125
2017;005;4;3428756993125
2017;837;2;3193756824625
2017;837;4;3196256824625
2017;837;77;3201256824625
2017;837;2;3203756824625
2017;837;1;3206256824625
2017;837;28;3208756824625
2017;837;65;3226256824625
2017;837;106;3228756824625
2017;837;149;3231256824625
2017;837;11;3233756824625
2017;837;1;3336256824625
2017;837;2;3363756824625
2017;837;9;3366256824625
2017;837;8;3368756824625
2017;837;3;3373756824625
2017;837;81;3376256824625
2017;837;5;3378756824625
2017;837;2;3381256824625
2017;837;13;3181256824875
2017;837;1;3183756824875
2017;837;6;3186256824875
2017;837;2;3188756824875
2017;837;8;3191256824875
2017;837;3;3193756824875
2017;837;1;3196256824875
2017;837;1;3203756824875
2017;837;6;3206256824875
2017;837;7;3208756824875
2017;837;4;3218756824875
2017;837;60;3221256824875
2017;837;138;3223756824875
2017;837;284;3226256824875
2017;837;161;3228756824875
2017;604;1;3248756819125
2017;604;241;3251256819125
2017;604;8;3253756819125
2017;604;1;3166256819375
2017;604;15;3191256819375
2017;604;27;3193756819375
2017;604;1;3196256819375
2017;604;171;3198756819375
2017;604;70;3201256819375
2017;604;7;3203756819375
2017;604;1;3206256819375
2017;604;1;3208756819375
2017;604;112;3211256819375
2017;604;162;3213756819375
2017;604;77;3216256819375
2017;604;28;3218756819375
2017;604;7;3221256819375
2017;604;1;3223756819375
2017;604;3;3233756819375
2017;604;24;3236256819375
2017;604;30;3246256819375
2017;604;46;3248756819375
2017;604;284;3251256819375
2017;604;1;3193756819625
2017;604;4;3198756819625
2017;604;9;3201256819625
2017;604;6;3206256819625
2017;604;3;3208756819625
2017;604;6;3211256819625
2017;604;3;3218756819625
2017;604;5;3221256819625
2017;604;5;3223756819625
2017;604;5;3231256819625
2017;837;101;3231256824875
2017;837;149;3233756824875
2017;837;79;3236256824875
2017;837;5;3371256824875
2017;837;6;3373756824875
2017;837;1;3376256824875
2017;837;2;3378756824875
2017;837;1;3181256825125
2017;837;25;3186256825125
2017;837;46;3188756825125
2017;837;4;3191256825125
2017;837;10;3193756825125
2017;837;1;3196256825125
2017;837;9;3201256825125
2017;837;9;3203756825125
2017;837;5;3206256825125
2017;837;3;3208756825125
2017;837;4;3216256825125
2017;837;206;3221256825125
2017;837;279;3223756825125
2017;837;351;3226256825125
2017;837;152;3228756825125
2017;837;1;3231256825125
2017;837;2;3321256825125
2017;837;2;3371256825125
2017;837;8;3373756825125
2017;837;2;3376256825125
2017;837;17;3378756825125
