scenario;rakv;rakennus_tyyppi;sahko_kiinteisto_kwhm2
wemh;9999;erpien;1
wemh;9999;rivita;5
wemh;9999;askert;5
wemh;9999;liike;15
wemh;9999;tsto;10
wemh;9999;liiken;15
wemh;9999;hoito;30
wemh;9999;kokoon;15
wemh;9999;opetus;10
wemh;9999;teoll;0
wemh;9999;varast;0
wemh;9999;muut;15
wemh;1920;erpien;1
wemh;1920;rivita;5
wemh;1920;askert;5
wemh;1920;liike;15
wemh;1920;tsto;10
wemh;1920;liiken;15
wemh;1920;hoito;30
wemh;1920;kokoon;15
wemh;1920;opetus;10
wemh;1920;teoll;0
wemh;1920;varast;0
wemh;1920;muut;15
wemh;1929;erpien;1
wemh;1929;rivita;6
wemh;1929;askert;6
wemh;1929;liike;15
wemh;1929;tsto;10
wemh;1929;liiken;15
wemh;1929;hoito;30
wemh;1929;kokoon;15
wemh;1929;opetus;10
wemh;1929;teoll;0
wemh;1929;varast;0
wemh;1929;muut;15
wemh;1939;erpien;2
wemh;1939;rivita;7
wemh;1939;askert;7
wemh;1939;liike;17
wemh;1939;tsto;12
wemh;1939;liiken;17
wemh;1939;hoito;32
wemh;1939;kokoon;17
wemh;1939;opetus;12
wemh;1939;teoll;0
wemh;1939;varast;0
wemh;1939;muut;17
wemh;1949;erpien;2
wemh;1949;rivita;10
wemh;1949;askert;9
wemh;1949;liike;19
wemh;1949;tsto;14
wemh;1949;liiken;19
wemh;1949;hoito;34
wemh;1949;kokoon;19
wemh;1949;opetus;14
wemh;1949;teoll;0
wemh;1949;varast;0
wemh;1949;muut;19
wemh;1959;erpien;3
wemh;1959;rivita;12
wemh;1959;askert;12
wemh;1959;liike;20
wemh;1959;tsto;15
wemh;1959;liiken;20
wemh;1959;hoito;35
wemh;1959;kokoon;20
wemh;1959;opetus;15
wemh;1959;teoll;0
wemh;1959;varast;0
wemh;1959;muut;20
wemh;1969;erpien;7
wemh;1969;rivita;14
wemh;1969;askert;16
wemh;1969;liike;25
wemh;1969;tsto;20
wemh;1969;liiken;25
wemh;1969;hoito;40
wemh;1969;kokoon;25
wemh;1969;opetus;20
wemh;1969;teoll;0
wemh;1969;varast;0
wemh;1969;muut;25
wemh;1979;erpien;10
wemh;1979;rivita;18
wemh;1979;askert;20
wemh;1979;liike;30
wemh;1979;tsto;25
wemh;1979;liiken;30
wemh;1979;hoito;45
wemh;1979;kokoon;30
wemh;1979;opetus;25
wemh;1979;teoll;0
wemh;1979;varast;0
wemh;1979;muut;30
wemh;1989;erpien;15
wemh;1989;rivita;16
wemh;1989;askert;19
wemh;1989;liike;27
wemh;1989;tsto;22
wemh;1989;liiken;27
wemh;1989;hoito;42
wemh;1989;kokoon;27
wemh;1989;opetus;22
wemh;1989;teoll;0
wemh;1989;varast;0
wemh;1989;muut;27
wemh;1999;erpien;18
wemh;1999;rivita;14
wemh;1999;askert;19
wemh;1999;liike;25
wemh;1999;tsto;20
wemh;1999;liiken;25
wemh;1999;hoito;40
wemh;1999;kokoon;25
wemh;1999;opetus;20
wemh;1999;teoll;0
wemh;1999;varast;0
wemh;1999;muut;25
wemh;2009;erpien;20
wemh;2009;rivita;14
wemh;2009;askert;23
