rakv;rakennus_tyyppi;kaukolampo;kevyt_oljy;raskas_oljy;kaasu;sahko;puu;turve;hiili;maalampo;muu_lammitys
1929;erpien;0.89;0.76;0.77;0.81;0.95;0.6;0.68;0.68;2.97;0.6
1929;rivita;0.89;0.77;0.77;0.81;0.95;0.68;0.72;0.72;2.97;0.68
1929;askert;0.89;0.78;0.78;0.81;0.95;0.72;0.72;0.72;2.97;0.72
1929;liike;0.89;0.78;0.78;0.81;0.9;0.72;0.72;0.72;2.97;0.72
1929;tsto;0.89;0.78;0.78;0.81;0.95;0.72;0.72;0.72;2.97;0.72
1929;liiken;0.89;0.78;0.78;0.81;0.9;0.72;0.72;0.72;2.97;0.72
1929;hoito;0.89;0.78;0.78;0.81;0.95;0.72;0.72;0.72;2.97;0.72
1929;kokoon;0.89;0.78;0.78;0.81;0.9;0.72;0.72;0.72;2.97;0.72
1929;opetus;0.89;0.78;0.78;0.81;0.95;0.72;0.72;0.72;2.97;0.72
1929;teoll;0.84;0.74;0.74;0.77;0.85;0.68;0.68;0.68;2.8;0.68
1929;varast;0.84;0.74;0.74;0.77;0.85;0.68;0.68;0.68;2.8;0.68
1929;muut;0.89;0.78;0.78;0.81;0.95;0.72;0.72;0.72;2.97;0.72
1939;erpien;0.89;0.76;0.77;0.82;0.95;0.62;0.68;0.68;2.97;0.62
1939;rivita;0.89;0.77;0.77;0.82;0.95;0.68;0.72;0.72;2.97;0.68
1939;askert;0.89;0.78;0.78;0.82;0.95;0.72;0.72;0.72;2.97;0.72
1939;liike;0.89;0.78;0.78;0.82;0.9;0.72;0.72;0.72;2.97;0.72
1939;tsto;0.89;0.78;0.78;0.82;0.95;0.72;0.72;0.72;2.97;0.72
1939;liiken;0.89;0.78;0.78;0.82;0.9;0.72;0.72;0.72;2.97;0.72
1939;hoito;0.89;0.78;0.78;0.82;0.95;0.72;0.72;0.72;2.97;0.72
1939;kokoon;0.89;0.78;0.78;0.82;0.9;0.72;0.72;0.72;2.97;0.72
1939;opetus;0.89;0.78;0.78;0.82;0.95;0.72;0.72;0.72;2.97;0.72
1939;teoll;0.84;0.74;0.74;0.77;0.85;0.68;0.68;0.68;2.8;0.68
1939;varast;0.84;0.74;0.74;0.77;0.85;0.68;0.68;0.68;2.8;0.68
1939;muut;0.89;0.78;0.78;0.82;0.95;0.72;0.72;0.72;2.97;0.72
1949;erpien;0.9;0.77;0.79;0.84;0.95;0.64;0.68;0.68;3;0.64
1949;rivita;0.9;0.79;0.79;0.84;0.95;0.68;0.72;0.72;3;0.68
1949;askert;0.9;0.8;0.8;0.84;0.95;0.72;0.72;0.72;3;0.72
1949;liike;0.89;0.79;0.79;0.83;0.9;0.72;0.72;0.72;2.97;0.72
1949;tsto;0.9;0.8;0.8;0.84;0.95;0.72;0.72;0.72;3;0.72
1949;liiken;0.89;0.79;0.79;0.83;0.9;0.72;0.72;0.72;2.97;0.72
1949;hoito;0.9;0.8;0.8;0.84;0.95;0.72;0.72;0.72;3;0.72
1949;kokoon;0.89;0.79;0.79;0.83;0.9;0.72;0.72;0.72;2.97;0.72
1949;opetus;0.9;0.8;0.8;0.84;0.95;0.72;0.72;0.72;3;0.72
1949;teoll;0.84;0.75;0.75;0.78;0.85;0.68;0.68;0.68;2.8;0.68
1949;varast;0.84;0.75;0.75;0.78;0.85;0.68;0.68;0.68;2.8;0.68
1949;muut;0.9;0.8;0.8;0.84;0.95;0.72;0.72;0.72;3;0.72
1959;erpien;0.91;0.78;0.8;0.85;0.95;0.64;0.68;0.68;3.04;0.64
1959;rivita;0.91;0.8;0.8;0.85;0.95;0.68;0.72;0.72;3.04;0.68
1959;askert;0.91;0.81;0.81;0.85;0.95;0.72;0.72;0.72;3.04;0.72
1959;liike;0.89;0.79;0.79;0.83;0.9;0.72;0.72;0.72;2.97;0.72
1959;tsto;0.91;0.81;0.81;0.85;0.95;0.72;0.72;0.72;3.04;0.72
1959;liiken;0.89;0.79;0.79;0.83;0.9;0.72;0.72;0.72;2.97;0.72
1959;hoito;0.91;0.81;0.81;0.85;0.95;0.72;0.72;0.72;3.04;0.72
1959;kokoon;0.89;0.79;0.79;0.83;0.9;0.72;0.72;0.72;2.97;0.72
1959;opetus;0.91;0.81;0.81;0.85;0.95;0.72;0.72;0.72;3.04;0.72
1959;teoll;0.84;0.75;0.75;0.78;0.85;0.68;0.68;0.68;2.8;0.68
1959;varast;0.84;0.75;0.75;0.78;0.85;0.68;0.68;0.68;2.8;0.68
1959;muut;0.91;0.81;0.81;0.85;0.95;0.72;0.72;0.72;3.04;0.72
1969;erpien;0.93;0.79;0.81;0.86;0.95;0.64;0.68;0.68;3.07;0.64
1969;rivita;0.93;0.81;0.81;0.86;0.95;0.68;0.72;0.72;3.07;0.68
1969;askert;0.93;0.82;0.82;0.86;0.95;0.72;0.72;0.72;3.07;0.72
1969;liike;0.9;0.79;0.79;0.83;0.9;0.72;0.72;0.72;2.97;0.72
1969;tsto;0.93;0.82;0.82;0.86;0.95;0.72;0.72;0.72;3.07;0.72
1969;liiken;0.9;0.79;0.79;0.83;0.9;0.72;0.72;0.72;2.97;0.72
1969;hoito;0.93;0.82;0.82;0.86;0.95;0.72;0.72;0.72;3.07;0.72
