scenario;rakv;rakennus_tyyppi;vesi_kwh_m2
wemh;2026;tsto;3
wemh;2026;liiken;2
wemh;2026;hoito;26
wemh;2026;kokoon;6
wemh;2026;opetus;8
wemh;2026;teoll;7
wemh;2026;varast;4
wemh;2026;muut;7
wemh;2027;erpien;27
wemh;2027;rivita;29
wemh;2027;askert;26
wemh;2027;liike;33
wemh;2027;tsto;3
wemh;2027;liiken;2
wemh;2027;hoito;26
wemh;2027;kokoon;6
wemh;2027;opetus;8
wemh;2027;teoll;7
wemh;2027;varast;4
wemh;2027;muut;7
wemh;2028;erpien;27
wemh;2028;rivita;29
wemh;2028;askert;26
wemh;2028;liike;33
wemh;2028;tsto;3
wemh;2028;liiken;2
wemh;2028;hoito;26
wemh;2028;kokoon;6
wemh;2028;opetus;8
wemh;2028;teoll;7
wemh;2028;varast;4
wemh;2028;muut;7
wemh;2029;erpien;27
wemh;2029;rivita;29
wemh;2029;askert;26
wemh;2029;liike;33
wemh;2029;tsto;3
wemh;2029;liiken;2
wemh;2029;hoito;26
wemh;2029;kokoon;6
wemh;2029;opetus;8
wemh;2029;teoll;7
wemh;2029;varast;4
wemh;2029;muut;7
wemh;2030;erpien;27
wemh;2030;rivita;29
wemh;2030;askert;26
wemh;2030;liike;33
wemh;2030;tsto;3
wemh;2030;liiken;2
wemh;2030;hoito;26
wemh;2030;kokoon;6
wemh;2030;opetus;8
wemh;2030;teoll;7
wemh;2030;varast;4
wemh;2030;muut;7
wemh;2031;erpien;27
wemh;2031;rivita;29
wemh;2031;askert;26
wemh;2031;liike;33
wemh;2031;tsto;3
wemh;2031;liiken;2
wemh;2031;hoito;26
wemh;2031;kokoon;6
wemh;2031;opetus;8
wemh;2031;teoll;7
wemh;2031;varast;4
wemh;2031;muut;7
wemh;2032;erpien;27
wemh;2032;rivita;29
wemh;2032;askert;26
wemh;2032;liike;33
wemh;2032;tsto;3
wemh;2032;liiken;2
wemh;2032;hoito;26
wemh;2032;kokoon;6
wemh;2032;opetus;8
wemh;2032;teoll;7
wemh;2032;varast;4
wemh;2032;muut;7
wemh;2033;erpien;27
wemh;2033;rivita;29
wemh;2033;askert;26
wemh;2033;liike;33
wemh;2033;tsto;3
wemh;2033;liiken;2
wemh;2033;hoito;26
wemh;2033;kokoon;6
wemh;2033;opetus;8
wemh;2033;teoll;7
wemh;2033;varast;4
wemh;2033;muut;7
wemh;2034;erpien;27
wemh;2034;rivita;29
wemh;2034;askert;26
wemh;2034;liike;33
wemh;2034;tsto;3
wemh;2034;liiken;2
wemh;2034;hoito;26
wemh;2034;kokoon;6
wemh;2034;opetus;8
wemh;2034;teoll;7
wemh;2034;varast;4
wemh;2034;muut;7
wemh;2035;erpien;27
wemh;2035;rivita;29
wemh;2035;askert;26
wemh;2035;liike;33
wemh;2035;tsto;3
wemh;2035;liiken;2
wemh;2035;hoito;26
wemh;2035;kokoon;6
wemh;2035;opetus;8
wemh;2035;teoll;7
wemh;2035;varast;4
wemh;2035;muut;7
wemh;2036;erpien;27
wemh;2036;rivita;29
wemh;2036;askert;26
wemh;2036;liike;33
wemh;2036;tsto;3
wemh;2036;liiken;2
wemh;2036;hoito;26
wemh;2036;kokoon;6
wemh;2036;opetus;8
wemh;2036;teoll;7
wemh;2036;varast;4
wemh;2036;muut;7
wemh;2037;erpien;27
wemh;2037;rivita;29
wemh;2037;askert;26
wemh;2037;liike;33
wemh;2037;tsto;3
wemh;2037;liiken;2
wemh;2037;hoito;26
wemh;2037;kokoon;6
wemh;2037;opetus;8
wemh;2037;teoll;7
wemh;2037;varast;4
wemh;2037;muut;7
wemh;2038;erpien;27
wemh;2038;rivita;29
wemh;2038;askert;26
wemh;2038;liike;33
wemh;2038;tsto;3
wemh;2038;liiken;2
wemh;2038;hoito;26
wemh;2038;kokoon;6
wemh;2038;opetus;8
wemh;2038;teoll;7
wemh;2038;varast;4
wemh;2038;muut;7
wemh;2039;erpien;27
wemh;2039;rivita;29
wemh;2039;askert;26
wemh;2039;liike;33
wemh;2039;tsto;3
wemh;2039;liiken;2
wemh;2039;hoito;26
wemh;2039;kokoon;6
wemh;2039;opetus;8
wemh;2039;teoll;7
wemh;2039;varast;4
wemh;2039;muut;7
wemh;2040;erpien;27
wemh;2040;rivita;29
wemh;2040;askert;26
wemh;2040;liike;33
wemh;2040;tsto;3
wemh;2040;liiken;2
wemh;2040;hoito;26
wemh;2040;kokoon;6
wemh;2040;opetus;8
wemh;2040;teoll;7
wemh;2040;varast;4
wemh;2040;muut;7
wemh;2041;erpien;27
wemh;2041;rivita;29
wemh;2041;askert;26
wemh;2041;liike;33
wemh;2041;tsto;3
wemh;2041;liiken;2
wemh;2041;hoito;26
wemh;2041;kokoon;6
wemh;2041;opetus;8
wemh;2041;teoll;7
wemh;2041;varast;4
wemh;2041;muut;7
wemh;2042;erpien;27
wemh;2042;rivita;29
wemh;2042;askert;26
wemh;2042;liike;33
wemh;2042;tsto;3
wemh;2042;liiken;2
wemh;2042;hoito;26
wemh;2042;kokoon;6
wemh;2042;opetus;8
wemh;2042;teoll;7
wemh;2042;varast;4
wemh;2042;muut;7
wemh;2043;erpien;27
wemh;2043;rivita;29
wemh;2043;askert;26
wemh;2043;liike;33
wemh;2043;tsto;3
wemh;2043;liiken;2
wemh;2043;hoito;26
wemh;2043;kokoon;6
wemh;2043;opetus;8
wemh;2043;teoll;7
wemh;2043;varast;4
wemh;2043;muut;7
wemh;2044;erpien;27
wemh;2044;rivita;29
wemh;2044;askert;26
wemh;2044;liike;33
wemh;2044;tsto;3
wemh;2044;liiken;2
wemh;2044;hoito;26
wemh;2044;kokoon;6
wemh;2044;opetus;8
wemh;2044;teoll;7
wemh;2044;varast;4
wemh;2044;muut;7
wemh;2045;erpien;27
wemh;2045;rivita;29
wemh;2045;askert;26
wemh;2045;liike;33
wemh;2045;tsto;3
wemh;2045;liiken;2
wemh;2045;hoito;26
wemh;2045;kokoon;6
wemh;2045;opetus;8
wemh;2045;teoll;7
wemh;2045;varast;4
wemh;2045;muut;7
wemh;2046;erpien;27
wemh;2046;rivita;29
wemh;2046;askert;26
wemh;2046;liike;33
wemh;2046;tsto;3
wemh;2046;liiken;2
wemh;2046;hoito;26
wemh;2046;kokoon;6
wemh;2046;opetus;8
wemh;2046;teoll;7
wemh;2046;varast;4
wemh;2046;muut;7
wemh;2047;erpien;27
wemh;2047;rivita;29
wemh;2047;askert;26
wemh;2047;liike;33
wemh;2047;tsto;3
wemh;2047;liiken;2
wemh;2047;hoito;26
wemh;2047;kokoon;6
wemh;2047;opetus;8
wemh;2047;teoll;7
wemh;2047;varast;4
wemh;2047;muut;7
wemh;2048;erpien;27
wemh;2048;rivita;29
wemh;2048;askert;26
wemh;2048;liike;33
wemh;2048;tsto;3
wemh;2048;liiken;2
wemh;2048;hoito;26
wemh;2048;kokoon;6
wemh;2048;opetus;8
wemh;2048;teoll;7
wemh;2048;varast;4
wemh;2048;muut;7
wemh;2049;erpien;27
wemh;2049;rivita;29
wemh;2049;askert;26
wemh;2049;liike;33
wemh;2049;tsto;3
wemh;2049;liiken;2
wemh;2049;hoito;26
wemh;2049;kokoon;6
wemh;2049;opetus;8
wemh;2049;teoll;7
wemh;2049;varast;4
wemh;2049;muut;7
wemh;2050;erpien;27
wemh;2050;rivita;29
wemh;2050;askert;26
wemh;2050;liike;33
wemh;2050;tsto;3
wemh;2050;liiken;2
wemh;2050;hoito;26
wemh;2050;kokoon;6
wemh;2050;opetus;8
wemh;2050;teoll;7
wemh;2050;varast;4
wemh;2050;muut;7
weml;9999;erpien;29
weml;9999;rivita;31
weml;9999;askert;31
weml;9999;liike;34
weml;9999;tsto;5
weml;9999;liiken;4
