scenario;year;erpien;rivita;askert;liike;tsto;liiken;hoito;kokoon;opetus;teoll;varast;muut
saasto;2047;6467;6266;6695;5706;6725;6062;6725;6725;6725;5349;4636;5706
saasto;2048;6060;5872;6275;5347;6302;5681;6302;6302;6302;5013;4345;5347
saasto;2049;5654;5479;5854;4989;5880;5301;5880;5880;5880;4677;4053;4989
saasto;2050;5249;5086;5434;4631;5458;4920;5458;5458;5458;4341;3763;4631
pysahdys;2018;29461;28546;30502;25993;30634;27617;30634;30634;30634;24368;21119;25993
pysahdys;2019;28663;27773;29676;25289;29805;26869;29805;29805;29805;23708;20547;25289
pysahdys;2020;28115;27241;29108;24805;29235;26356;29235;29235;29235;23255;20154;24805
pysahdys;2021;27539;26683;28512;24297;28636;25816;28636;28636;28636;22779;19741;24297
pysahdys;2022;26884;26049;27835;23720;27956;25202;27956;27956;27956;22237;19272;23720
pysahdys;2023;26052;25243;26973;22986;27090;24422;27090;27090;27090;21549;18676;22986
pysahdys;2024;25229;24446;26121;22260;26235;23651;26235;26235;26235;20868;18086;22260
pysahdys;2025;24518;23756;25384;21632;25495;22984;25495;25495;25495;20280;17576;21632
pysahdys;2026;23764;23026;24604;20967;24711;22278;24711;24711;24711;19657;17036;20967
pysahdys;2027;22970;22256;23781;20266;23885;21532;23885;23885;23885;18999;16466;20266
pysahdys;2028;22173;21484;22956;19563;23056;20785;23056;23056;23056;18340;15895;19563
pysahdys;2029;21383;20719;22139;18866;22235;20045;22235;22235;22235;17687;15329;18866
pysahdys;2030;20531;19893;21256;18114;21349;19246;21349;21349;21349;16982;14718;18114
pysahdys;2031;19938;19319;20643;17591;20733;18691;20733;20733;20733;16492;14293;17591
pysahdys;2032;19337;18736;20020;17061;20107;18127;20107;20107;20107;15994;13862;17061
pysahdys;2033;18818;18234;19483;16603;19568;17641;19568;19568;19568;15565;13490;16603
pysahdys;2034;18301;17732;18947;16147;19030;17156;19030;19030;19030;15137;13119;16147
pysahdys;2035;17773;17221;18401;15681;18481;16661;18481;18481;18481;14701;12741;15681
pysahdys;2036;17252;16716;17861;15221;17939;16172;17939;17939;17939;14270;12367;15221
pysahdys;2037;16744;16224;17336;14773;17412;15697;17412;17412;17412;13850;12003;14773
pysahdys;2038;16246;15741;16820;14333;16893;15229;16893;16893;16893;13438;11646;14333
pysahdys;2039;15750;15260;16306;13896;16377;14764;16377;16377;16377;13027;11290;13896
pysahdys;2040;15258;14784;15797;13462;15866;14303;15866;15866;15866;12620;10938;13462
pysahdys;2041;14768;14310;15290;13030;15357;13844;15357;15357;15357;12216;10587;13030
pysahdys;2042;14279;13836;14784;12598;14848;13386;14848;14848;14848;11811;10236;12598
pysahdys;2043;13809;13380;14297;12184;14360;12945;14360;14360;14360;11422;9899;12184
pysahdys;2044;13341;12927;13813;11771;13873;12507;13873;13873;13873;11035;9564;11771
pysahdys;2045;12859;12460;13314;11345;13371;12055;13371;13371;13371;10636;9218;11345
pysahdys;2046;12409;12023;12847;10948;12903;11632;12903;12903;12903;10264;8895;10948
pysahdys;2047;11925;11555;12347;10521;12400;11179;12400;12400;12400;9864;8549;10521
pysahdys;2048;11466;11110;11871;10116;11923;10749;11923;11923;11923;9484;8219;10116
pysahdys;2049;11007;10666;11396;9712;11446;10319;11446;11446;11446;9105;7891;9712
pysahdys;2050;10550;10222;10922;9308;10970;9890;10970;10970;10970;8726;7563;9308
