scenario;year;kmuoto;kvoima_bensiini;kvoima_etanoli;kvoima_diesel;kvoima_kaasu;kvoima_phev_b;kvoima_phev_d;kvoima_ev;kvoima_vety;kvoima_muut
wemp;2046;hlauto;0.58;0.63;0.55;0.56;0.40;0.39;0.18;0.17;0.00
wemp;2046;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.90
wemp;2046;pauto;0.85;0.79;0.79;0.93;0.31;0.00;0.31;0.12;0.00
wemp;2046;kauto;1.92;1.75;1.59;1.43;1.50;1.50;1.00;1.00;0.00
wemp;2047;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2047;bussi;1.43;1.43;1.30;1.46;1.43;1.43;0.48;0.48;0.00
wemp;2047;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.05;0.00;0.00
wemp;2047;hlauto;0.58;0.63;0.54;0.57;0.40;0.39;0.18;0.17;0.00
wemp;2047;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.89
wemp;2047;pauto;0.85;0.78;0.78;0.93;0.31;0.00;0.31;0.12;0.00
wemp;2047;kauto;1.89;1.72;1.56;1.41;1.48;1.48;0.98;0.98;0.00
wemp;2048;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2048;bussi;1.43;1.43;1.30;1.46;1.44;1.44;0.48;0.48;0.00
wemp;2048;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.07;0.00;0.00
wemp;2048;hlauto;0.58;0.63;0.54;0.57;0.40;0.39;0.18;0.16;0.00
wemp;2048;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.88
wemp;2048;pauto;0.84;0.78;0.78;0.93;0.31;0.00;0.31;0.12;0.00
wemp;2048;kauto;1.86;1.70;1.54;1.39;1.46;1.46;0.97;0.97;0.00
wemp;2049;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2049;bussi;1.44;1.44;1.31;1.47;1.45;1.45;0.48;0.48;0.00
wemp;2049;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.09;0.00;0.00
wemp;2049;hlauto;0.57;0.63;0.54;0.57;0.40;0.39;0.18;0.16;0.00
wemp;2049;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.87
