mun;scenario;year;kmuoto;kvoima_bensiini;kvoima_etanoli;kvoima_diesel;kvoima_kaasu;kvoima_phev_b;kvoima_phev_d;kvoima_ev;kvoima_vety;kvoima_muut
837;wemp;2040;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2040;bussi;0.000;0.000;0.157;0.001;0.000;0.000;0.833;0.009;0.000
837;wemp;2040;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2040;hlauto;0.116;0.001;0.059;0.002;0.080;0.001;0.740;0.001;0.000
837;wemp;2040;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2040;pauto;0.005;0.000;0.280;0.001;0.001;0.000;0.679;0.034;0.000
837;wemp;2040;kauto;0.000;0.000;0.709;0.080;0.000;0.034;0.178;0.000;0.000
837;wemp;2041;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2041;bussi;0.000;0.000;0.142;0.001;0.000;0.000;0.844;0.013;0.000
837;wemp;2041;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2041;hlauto;0.101;0.001;0.051;0.002;0.074;0.001;0.768;0.002;0.000
837;wemp;2041;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2041;pauto;0.004;0.000;0.243;0.000;0.001;0.000;0.711;0.041;0.000
837;wemp;2041;kauto;0.000;0.000;0.684;0.084;0.000;0.039;0.193;0.000;0.000
837;wemp;2042;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2042;bussi;0.000;0.000;0.129;0.001;0.000;0.000;0.852;0.018;0.000
837;wemp;2042;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2042;hlauto;0.088;0.001;0.044;0.002;0.069;0.001;0.794;0.002;0.000
837;wemp;2042;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2042;pauto;0.004;0.000;0.209;0.000;0.001;0.000;0.738;0.048;0.000
837;wemp;2042;kauto;0.000;0.000;0.658;0.087;0.000;0.046;0.209;0.000;0.000
837;wemp;2043;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2043;bussi;0.000;0.000;0.118;0.001;0.000;0.000;0.857;0.024;0.000
837;wemp;2043;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2043;hlauto;0.077;0.001;0.038;0.001;0.063;0.001;0.816;0.003;0.000
837;wemp;2043;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2043;pauto;0.003;0.000;0.179;0.000;0.000;0.000;0.761;0.056;0.000
837;wemp;2043;kauto;0.000;0.000;0.633;0.091;0.000;0.052;0.223;0.000;0.000
837;wemp;2044;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2044;bussi;0.000;0.000;0.109;0.000;0.000;0.000;0.859;0.032;0.000
837;wemp;2044;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2044;hlauto;0.067;0.000;0.033;0.001;0.058;0.001;0.835;0.004;0.000
837;wemp;2044;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2044;pauto;0.003;0.000;0.152;0.000;0.000;0.000;0.781;0.064;0.000
837;wemp;2044;kauto;0.000;0.000;0.607;0.095;0.000;0.060;0.238;0.000;0.000
837;wemp;2045;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2045;bussi;0.000;0.000;0.101;0.000;0.000;0.000;0.859;0.040;0.000
837;wemp;2045;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2045;hlauto;0.059;0.000;0.028;0.001;0.053;0.001;0.852;0.006;0.000
837;wemp;2045;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2045;pauto;0.002;0.000;0.128;0.000;0.000;0.000;0.798;0.071;0.000
837;wemp;2045;kauto;0.000;0.000;0.582;0.099;0.000;0.068;0.252;0.000;0.000
837;wemp;2046;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2046;bussi;0.000;0.000;0.094;0.000;0.000;0.000;0.856;0.049;0.000
837;wemp;2046;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2046;hlauto;0.051;0.000;0.024;0.001;0.048;0.001;0.867;0.007;0.000
837;wemp;2046;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2046;pauto;0.002;0.000;0.108;0.000;0.000;0.000;0.812;0.078;0.000
837;wemp;2046;kauto;0.000;0.000;0.556;0.102;0.000;0.076;0.265;0.000;0.000
837;wemp;2047;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2047;bussi;0.000;0.000;0.088;0.000;0.000;0.000;0.852;0.059;0.000
837;wemp;2047;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2047;hlauto;0.044;0.000;0.021;0.001;0.044;0.000;0.881;0.009;0.000
837;wemp;2047;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2047;pauto;0.002;0.000;0.090;0.000;0.000;0.000;0.822;0.086;0.000
837;wemp;2047;kauto;0.000;0.000;0.532;0.106;0.000;0.084;0.278;0.000;0.000
837;wemp;2048;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2048;bussi;0.000;0.000;0.083;0.000;0.000;0.000;0.848;0.070;0.000
837;wemp;2048;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2048;hlauto;0.038;0.000;0.018;0.001;0.039;0.000;0.892;0.011;0.000
837;wemp;2048;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2048;pauto;0.001;0.000;0.074;0.000;0.000;0.000;0.831;0.094;0.000
837;wemp;2048;kauto;0.000;0.000;0.508;0.110;0.000;0.091;0.291;0.000;0.000
837;wemp;2049;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2049;bussi;0.000;0.000;0.078;0.000;0.000;0.000;0.842;0.080;0.000
837;wemp;2049;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
