mun;scenario;year;rakv;erpien;rivita;askert;liike;tsto;liiken;hoito;kokoon;opetus;teoll;varast;muut
980;wem;2035;1959;139;152;100;204;178;126;221;139;208;130;139;126
980;wem;2035;1969;136;132;99;160;119;95;173;111;152;115;140;95
980;wem;2035;1979;111;119;87;131;95;75;139;91;123;87;103;75
980;wem;2035;1989;100;100;79;129;96;75;137;87;121;87;100;75
980;wem;2035;1999;107;116;97;130;97;74;134;83;120;88;97;74
980;wem;2035;2009;118;103;98;123;93;69;123;74;113;84;88;69
980;wem;2035;2010;75;75;60;80;60;50;95;60;75;45;45;50
980;wem;2035;2018;73;71;57;77;55;40;85;55;74;40;40;40
980;wem;2035;2019;65;45;40;55;55;40;85;55;70;40;40;40
980;wem;2035;2020;62;42;37;52;52;40;85;52;67;40;40;40
980;wem;2035;2021;60;39;35;50;50;40;85;50;65;40;40;40
980;wem;2035;2022;59;39;35;50;50;40;85;50;65;40;40;40
980;wem;2035;2023;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2035;2024;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2035;2025;57;39;33;48;48;38;83;48;63;38;40;38
980;wem;2035;2026;56;39;33;48;48;38;83;48;63;38;40;38
980;wem;2035;2027;55;38;33;47;47;37;82;47;62;37;39;37
980;wem;2035;2028;54;38;32;47;47;37;82;47;62;37;38;37
980;wem;2035;2029;54;38;32;46;46;36;81;46;61;36;37;36
980;wem;2035;2030;53;38;31;46;46;36;81;46;61;36;36;36
980;wem;2035;2031;52;38;31;45;45;35;80;45;60;35;35;35
980;wem;2035;2032;52;38;31;45;45;35;80;45;60;35;35;35
980;wem;2035;2033;52;38;31;45;45;35;80;45;60;35;35;35
980;wem;2035;2034;52;38;31;45;45;35;80;45;60;35;35;35
980;wem;2035;2035;52;38;31;45;45;35;80;45;60;35;35;35
980;wem;2036;9999;129;119;104;159;134;84;218;124;144;109;124;84
980;wem;2036;1920;139;124;94;228;198;124;233;159;233;273;179;124
980;wem;2036;1929;142;133;93;226;196;128;236;157;231;255;167;128
980;wem;2036;1939;149;145;101;222;193;130;236;154;226;212;164;130
