mun;year;erpien;rivita;askert
418;2028;41.8504383699;38.9767302906;38.64641901825
418;2029;41.87136358995;38.99621865165;38.6657422314
418;2030;41.8922992782;39.01571676915;38.68507510245
418;2031;41.9132454237;39.0352246212;38.7044176314
418;2032;41.93420204835;39.05474224065;38.72376984015
418;2033;41.95516915215;39.0742696056;38.7431317287
418;2034;41.9761467351;39.09380673795;38.76250329705
418;2035;41.99713480815;39.11335364865;38.7818845452
418;2036;42.0181333713;39.13291032675;38.80127549505
418;2037;42.0391424355;39.1524767832;38.8206761247
418;2038;42.0601620117;39.172053018;38.840086467
418;2039;42.08119208895;39.1916390421;38.859506511
418;2040;42.10223268915;39.21123486645;38.8789362567
418;2041;42.12328380135;39.2308404801;38.898375726
418;2042;42.14434544745;39.25045590495;38.9178249189
418;2043;42.1654176165;39.27008113005;38.9372838354
418;2044;42.1865003304;39.28971616635;38.9567524755
418;2045;42.2075935782;39.3093610248;38.97623085015
418;2046;42.22869737085;39.3290157054;38.99571895935
418;2047;42.2498117193;39.3486802191;39.015216825
418;2048;42.27093662355;39.36835455495;39.03472443615
418;2049;42.29207209455;39.38803873485;39.0542417928
418;2050;42.3132181323;39.40773274785;39.07376891685
536;2017;40.47;37.701;37.3815
536;2018;40.500890325;37.7198505;37.40019075
536;2019;40.5211407675;37.73871042525;37.4188908507
536;2020;40.54140133815;37.75757977575;37.43760029145
536;2021;40.56167203695;37.7764585728;37.45631909355
536;2022;40.58195287455;37.7953467951;37.47504724635
536;2023;40.60224385095;37.8142444746;37.49378477115
536;2024;40.6225449768;37.83315159;37.51253166795
536;2025;40.6428562521;37.85206817325;37.53128793675
536;2026;40.66317767685;37.87099420305;37.55005357755
536;2027;40.6835092617;37.8899297007;37.568828601
536;2028;40.7038510173;37.9088746662;37.58761301775
536;2029;40.72420294365;37.92782909955;37.6064068278
536;2030;40.7445650514;37.94679302205;37.62521003115
536;2031;40.7649373299;37.9657664124;37.6440226278
536;2032;40.78531980045;37.98474930255;37.66284463905
536;2033;40.80571246305;38.0037416712;37.6816760649
536;2034;40.8261153177;38.02274353965;37.70051690535
536;2035;40.84652837505;38.04175491855;37.7193671604
536;2036;40.8669516351;38.06077579725;37.73822685135
536;2037;40.8873851085;38.0798061864;37.7570959569
