scenario;rakv;rakennus_tyyppi;vesi_kwh_m2
eu80;1959;muut;8
eu80;1969;erpien;29
eu80;1969;rivita;33
eu80;1969;askert;33
eu80;1969;liike;35
eu80;1969;tsto;5
eu80;1969;liiken;5
eu80;1969;hoito;27
eu80;1969;kokoon;6
eu80;1969;opetus;10
eu80;1969;teoll;0
eu80;1969;varast;4
eu80;1969;muut;8
eu80;1979;erpien;29
eu80;1979;rivita;31
eu80;1979;askert;31
eu80;1979;liike;34
eu80;1979;tsto;5
eu80;1979;liiken;5
eu80;1979;hoito;27
eu80;1979;kokoon;6
eu80;1979;opetus;9
eu80;1979;teoll;0
eu80;1979;varast;4
eu80;1979;muut;8
eu80;1989;erpien;28
eu80;1989;rivita;30
eu80;1989;askert;29
eu80;1989;liike;34
eu80;1989;tsto;5
eu80;1989;liiken;4
eu80;1989;hoito;27
eu80;1989;kokoon;6
eu80;1989;opetus;9
eu80;1989;teoll;0
eu80;1989;varast;4
eu80;1989;muut;8
eu80;1999;erpien;31
eu80;1999;rivita;32
eu80;1999;askert;30
eu80;1999;liike;34
eu80;1999;tsto;5
eu80;1999;liiken;3
eu80;1999;hoito;27
eu80;1999;kokoon;6
eu80;1999;opetus;9
eu80;1999;teoll;0
eu80;1999;varast;4
eu80;1999;muut;8
eu80;2009;erpien;29
eu80;2009;rivita;30
eu80;2009;askert;28
eu80;2009;liike;33
eu80;2009;tsto;5
eu80;2009;liiken;4
eu80;2009;hoito;26
eu80;2009;kokoon;6
eu80;2009;opetus;9
eu80;2009;teoll;0
eu80;2009;varast;4
eu80;2009;muut;8
eu80;2010;erpien;27
eu80;2010;rivita;29
eu80;2010;askert;26
eu80;2010;liike;33
eu80;2010;tsto;3
eu80;2010;liiken;2
eu80;2010;hoito;26
eu80;2010;kokoon;6
eu80;2010;opetus;8
eu80;2010;teoll;0
eu80;2010;varast;4
eu80;2010;muut;8
eu80;2018;erpien;27
eu80;2018;rivita;29
eu80;2018;askert;26
eu80;2018;liike;33
eu80;2018;tsto;3
eu80;2018;liiken;2
eu80;2018;hoito;26
eu80;2018;kokoon;6
eu80;2018;opetus;8
eu80;2018;teoll;8
eu80;2018;varast;4
eu80;2018;muut;8
eu80;2019;erpien;27
eu80;2019;rivita;29
eu80;2019;askert;26
eu80;2019;liike;33
